team,ground,postcode,county_fa,latitude,longitude
Curzon Ashton,Tameside Stadium,OL7 9HG,Manchester,53.494178,-2.11108
Darlington,Blackwell Meadows,DL1 5NR,Durham,54.509887,-1.564445
Farsley Celtic,The Citadel,LS28 5BE,West Riding,53.808786,-1.666834
Gloucester City,TigerTurf Stadium,GL2 5HS,Gloucestershire,51.862118,-2.261076
Hereford,Edgar Street,HR4 9JU,Herefordshire,52.060252,-2.717181
Kettering Town,Latimer Park,NN15 5PS,Northamptonshire,52.366765,-0.690191
Kidderminster Harriers,Aggborough Stadium,DY10 1NB,Worcestershire,52.381432,-2.243361
King's Lynn Town,The Walks,PE30 5PB,Norfolk,52.749617,0.407359
Leamington,Your Co-op Community Stadium,CV33 9QB,Birmingham,52.255908,-1.52781
Peterborough Sports,Bee Arena,PE1 3HA,Northamptonshire,52.592829,-0.25518
Scarborough Athletic,Flamingo Land Stadium,YO11 2JW,North Riding,54.270706,-0.413503
Southport,Haig Avenue,PR8 6JZ,Lancashire,53.638477,-2.979118
Spennymoor Town,Brewery Field,DL16 6JN,Durham,54.703329,-1.598596
Bath City,Twerton Park,BA2 1DB,Somerset,51.379763,-2.394679
Braintree Town,Dunmow Group Stadium,CM7 3DE,Essex,51.875776,0.572443
Chelmsford City,Melbourne Community Stadium,CM1 2EH,Essex,51.751262,0.451896
Cheshunt,The Stadium,EN8 8RU,Hertfordshire,51.69447,-0.042399
Chippenham Town,Thornbury Surfacing Stadium,SN14 6LR,Wiltshire,51.465259,-2.129062
Concord Rangers,Thames Road,SS8 0HH,Essex,51.516637,0.574566
Dartford,Bericote Powerhouse Princes Park Stadium,DA1 1RT,Kent,51.436726,0.230847
Dover Athletic,Crabble Athletic Ground,CT17 0JB,Kent,51.139578,1.286825
Dulwich Hamlet,Champion Hill Stadium,SE22 8BD,London,51.461895,-0.083693
Eastbourne Borough,Priory Lane,BN23 7QH,Sussex,50.804435,0.319531
Ebbsfleet United,Stonebridge Road,DA11 9GN,Kent,51.448891,0.322661
Farnborough,Easy as HGV Stadium,GU14 8UD,Hampshire,51.310304,-0.762988
Hampton & Richmond Borough,Rocket Hospitality Beveree Stadium,TW12 2BX,Middlesex,51.413941,-0.363418
Havant & Waterlooville,Draper Tools Community Stadium,PO9 5TH,Hampshire,50.866539,-0.975491
Hemel Hempstead Town,Vauxhall Road,HP2 4HW,Hertfordshire,51.753567,-0.442865
Hungerford Town,Bulpit Lane,RG17 0AY,Berkshire & Buckinghamshire,51.407599,-1.512853
Oxford City,Marsh Lane,OX3 0NQ,Oxfordshire,51.770583,-1.230183
Slough Town,Arbour Park,SL2 5AY,Berkshire & Buckinghamshire,51.518757,-0.589032
St. Albans City,Clarence Park,AL1 4PL,Hertfordshire,51.755285,-0.323289
Taunton Town,The Cygnet Health Care Stadium,TA1 2HG,Somerset,51.016177,-3.086591
Tonbridge Angels,Halcyon Wealth Longmead Stadium,TN10 3JF,Kent,51.21091,0.269855
Welling United,Park View Road,DA16 1SY,London,51.460439,0.115986
Weymouth,Bob Lucas Stadium,DT4 9XJ,Dorset,50.619627,-2.485783
Worthing,Woodside Road,BN14 7HQ,Sussex,50.820519,-0.383825
Aveley,Parkside,RM15 4PX,Essex,51.506833,0.263812
Billericay Town,New Lodge,CM12 9SA,Essex,51.622488,0.400649
Bishop's Stortford,A&D Advisors UK Stadium,CM23 5RG,Hertfordshire,51.873613,0.189166
Bognor Regis Town,Nyewood Lane,PO21 2TY,Sussex,50.786362,-0.687505
Bowers & Pitsea,Len Salmon Stadium,SS13 2BE,Essex,51.574263,0.516728
Brightlingsea Regent,North Road,CO7 0PL,Essex,51.814476,1.025328
Canvey Island,Park Lane,SS8 7PX,Essex,51.517636,0.615158
Carshalton Athletic,War Memorial Sports Ground,SM5 2PW,Surrey,51.368522,-0.16911
Corinthian-Casuals,King George's Field,KT6 7NA,Surrey,51.37406,-0.28677
Cray Wanderers,Hayes Lane,BR2 9EF,Kent,51.390984,0.01771
Enfield Town,Queen Elizabeth II Stadium,EN1 3PL,Middlesex,51.658573,-0.060906
Folkestone Invicta,BuildKent Stadium,CT19 5JU,Kent,51.08687,1.16036
Haringey Borough,CVS Van Hire Stadium,N17 7JP,London,51.60637,-0.091873
Hastings United,Pilot Field,TN34 2AX,Sussex,50.873966,0.585745
Herne Bay,Kent Vehicles Stadium,CT6 5SG,Kent,51.364975,1.128615
Hornchurch,The Stadium,RM14 2LX,Essex,51.556679,0.239697
Horsham,Camping World Community Stadium,RH13 0AD,Sussex,51.053928,-0.340072
Kingstonian,Tooting & Mitcham Community Sports Club,SM4 6BF,Surrey,51.393646,-0.171873
Lewes,The Dripping Pan,BN7 2XA,Sussex,50.8693,0.01079
Margate,Hartsdown Park,CT9 5QZ,Kent,51.379924,1.37345
Potters Bar Town,LA Construction Stadium,EN6 1QB,Hertfordshire,51.696418,-0.179753
Wingate & Finchley,Maurice Rebak Stadium,N12 0PD,London,51.605919,-0.17276
AFC Sudbury,Mel Group Stadium,CO10 7HN,Suffolk,52.035333,0.713837
Basildon United,Core Refurbishments Stadium,SS14 3AW,Essex,51.586069,0.476814
Brentwood Town,The Arena,CM15 9NN,Essex,51.634939,0.299565
Bury Town,Ram Meadow,IP33 1XP,Suffolk,52.248391,0.718078
Coggeshall Town,West Street,CO6 1NT,Essex,51.869613,0.672607
East Thurrock United,Rookery Hill,SS17 9LB,Essex,51.521493,0.463319
Felixstowe & Walton United,Goldstar Ground,IP11 9HT,Suffolk,51.96955,1.353052
Gorleston,Crown Meadow,NR32 2PA,Norfolk,52.480187,1.747634
Grays Athletic,EMR Stadium,RM18 8NL,Essex,51.469177,0.365031
Great Wakering Rovers,Burroughs Park,SS3 0HH,Essex,51.559694,0.79832
Hashtag United,Len Salmon Stadium,SS13 2BE,Essex,51.574263,0.516728
Heybridge Swifts,Aspen Waite Arena,CM9 8JA,Essex,51.749005,0.708223
Hullbridge Sports,Lower Road,SS5 6BJ,Essex,51.616958,0.619666
Lowestoft Town,Crown Meadow,NR32 2PA,Suffolk,52.480187,1.747634
Maldon & Tiptree,Maldon Stadium,CM9 5JQ,Essex,51.723172,0.689185
New Salamis,CVS Van Hire Stadium,N17 7JP,London,51.60637,-0.091873
Stowmarket Town,Green's Meadow,IP14 1JQ,Suffolk,52.196805,0.991585
Tilbury,EMR Stadium,RM18 8NL,Essex,51.469177,0.365031
Witham Town,Spa Road,CM8 1UN,Essex,51.799587,0.627673
Wroxham,Trafford Park,NR12 8SJ,Norfolk,52.702491,1.397729
Ashford Town (Middlesex),Robert Parker Stadium,TW19 7BH,Middlesex,51.451298,-0.463273
Basingstoke Town,Winklebury Football Complex,RG23 8BF,Hampshire,51.267952,-1.112041
Bedfont Sports,Bedfont Sports Recreation Ground,TW14 8JA,Middlesex,51.455678,-0.436109
Binfield,Hill Farm Lane,RG42 5NR,Berkshire & Buckinghamshire,51.444514,-0.77528
Chertsey Town,Alwyns Lane,KT16 9DW,Surrey,51.393042,-0.506794
Chipstead,High Road,CR5 3SF,Surrey,51.290323,-0.172623
Guernsey,Footes Lane Stadium,GY1 2UL,Guernsey,49.466381,-2.563503
Hanworth Villa,Rectory Meadow,TW13 6PN,Middlesex,51.433785,-0.393791
Leatherhead,Fetcham Grove,KT22 9AS,Surrey,51.291718,-0.333001
Marlow,Oak Tree Road,SL7 3ED,Berkshire & Buckinghamshire,51.578447,-0.773401
Merstham,Moatside Stadium,RH1 3QB,Surrey,51.258257,-0.145331
Northwood,Fenton Civil Engineering Stadium,HA6 1HR,Middlesex,51.602959,-0.41855
South Park,Whitehall Lane,RH2 8LG,Surrey,51.224889,-0.213842
Southall,1878 Stadium,SL1 8JG,Berkshire & Buckinghamshire,51.538287,-0.666814
Sutton Common Rovers,Church Road,CR3 0AR,Surrey,51.506795,-0.041175
Thatcham Town,Stacatruc Stadium,RG19 4PA,Berkshire & Buckinghamshire,51.390835,-1.245381
Tooting & Mitcham United,Tooting & Mitcham Community Sports Club,SM4 6BF,Surrey,51.393646,-0.171873
Uxbridge,Horton Road,UB7 8HX,Middlesex,51.512049,-0.457664
Walton & Hersham,Elmbridge Sports Hub,KT12 2JP,Surrey,51.396496,-0.411155
Westfield,Woking Park,GU22 9BA,Surrey,51.309343,-0.556566
Ashford United,Homelands Stadium,TN26 1NJ,Kent,51.106307,0.852633
Beckenham Town,Eden Park Avenue,BR3 3JL,Kent,51.392649,-0.02774
Burgess Hill Town,More Than Tyres Stadium,RH15 8DL,Sussex,50.966684,-0.12565
Chatham Town,Bauvill Stadium,ME4 6LR,Kent,51.36762,0.521757
Chichester City,Oaklands Park,PO19 6AR,Sussex,50.842324,-0.775923
Corinthian,Corinthian Sports Club,DA3 8LY,Kent,51.382668,0.292329
Cray Valley (Paper Mills),Artic Stadium,SE9 5HT,Kent,51.448622,0.035779
East Grinstead Town,OHOB Community Stadium,RH19 3LS,Sussex,51.130589,-0.00368
Faversham Town,Aquatherm Stadium,ME13 8ND,Kent,51.307144,0.893687
Haywards Heath Town,Thank You NHS Stadium,RH16 3PT,Sussex,50.999506,-0.089026
Hythe Town,Reachfields Stadium,CT21 6JS,Kent,51.069711,1.072757
Lancing,Culver Road,BN15 9AX,Sussex,50.828924,-0.323682
Littlehampton Town,The Sportsfield,BN17 6BD,Sussex,50.810434,-0.531138
Ramsgate,Southwood Stadium,CT11 0AN,Kent,51.332719,1.40143
Sevenoaks Town,Bourne Stadium,TN14 5BX,Kent,51.290002,0.199458
Sheppey United,Total Power Stadium at Holm Park,ME12 3DB,Kent,51.420825,0.769498
Sittingbourne,Jarmans Stadium,ME9 8AG,Kent,51.315286,0.724055
Three Bridges,Jubilee Walk,RH10 1LQ,Sussex,51.116257,-0.16634
VCD Athletic,Oakwood,DA1 4DN,London,51.454534,0.170382
Whitehawk,TerraPura Ground,BN2 5TS,Sussex,50.821013,-0.097883
Ashton United,Surrey Street,OL6 8DY,Manchester,53.500639,-2.07968
Atherton Collieries,Skuna Stadium,M46 9EY,Lancashire,53.524241,-2.486202
Bamber Bridge,Sir Tom Finney Stadium,PR5 6UU,Lancashire,53.729212,-2.670285
Belper Town,Raygar Stadium,DE56 1BA,Derbyshire,53.026252,-1.485716
FC United of Manchester,Broadhurst Park,M40 0FJ,Manchester,53.516384,-2.181159
Gainsborough Trinity,Martin & Co Arena,DN21 2QW,Lincolnshire,53.402823,-0.775301
Guiseley,Nethermoor Park,LS20 8BT,West Riding,53.876695,-1.719808
Hyde United,Ewen Fields,SK14 5PL,Cheshire,53.449142,-2.069224
Lancaster City,Giant Axe,LA1 5PE,Lancashire,54.0499,-2.810917
Liversedge,Clayborn Ground,WF15 8DA,West Riding,53.718355,-1.716011
Marine,Marine Travel Arena,L23 3AS,Liverpool,53.48549,-3.032452
Marske United,Mount Pleasant,TS11 7BW,North Riding,54.590082,-1.015162
Matlock Town,Proctors Cars Stadium,DE4 3AR,Derbyshire,53.13837,-1.554113
Morpeth Town,Craik Park,NE61 2YX,Northumberland,55.155562,-1.709772
Nantwich Town,Weaver Stadium,CW5 5BS,Cheshire,53.072267,-2.528168
Radcliffe,Neuven Stadium,M26 3PE,Lancashire,53.567047,-2.339598
South Shields,Mariners Park,NE32 3UP,Durham,54.97304,-1.467453
Stafford Rangers,Marston Road Ground,ST16 3UF,Staffordshire,52.819077,-2.114374
Stalybridge Celtic,Bower Fold,SK15 2RT,Cheshire,53.473711,-2.041648
Warrington Rylands 1906,Rylands Recreation Club,WA2 7RZ,Liverpool,53.401653,-2.575557
Warrington Town,Winner Recruitment Stadium,WA4 2RS,Cheshire,53.377379,-2.568675
Whitby Town,Turnbull Ground,YO21 3HZ,North Riding,54.489244,-0.627813
Bridlington Town,Hudgell Solicitors Stadium,YO16 7LN,East Riding,54.089785,-0.197604
Brighouse Town,Yorkshire Payments Stadium,HD6 2PL,West Riding,53.715834,-1.801954
Carlton Town,Bill Stokeld Stadium,NG4 2QS,Nottinghamshire,52.972434,-1.067643
Cleethorpes Town,Linden Club,DN32 8QL,Lincolnshire,53.555051,-0.053837
Consett,Belle Vue Stadium,DH8 7BF,Durham,54.849951,-1.82451
Dunston UTS,UTS Stadium,NE11 9JL,Durham,54.956202,-1.65262
Grantham Town,South Kesteven Sports Stadium,NG31 7XQ,Lincolnshire,52.907249,-0.665087
Grimsby Borough,Bradley Football Development Centre,DN37 0AG,Lincolnshire,53.546446,-0.122768
Hebburn Town,Green Energy Sports Ground,NE31 1UN,Durham,54.966969,-1.524826
Lincoln United,Ashby Avenue,LN6 0DY,Lincolnshire,53.210605,-0.583126
Long Eaton United,Grange Park,NG10 2EF,Derbyshire,52.898145,-1.257871
North Shields,Daren Persson Stadium,NE29 6UA,Northumberland,55.00329,-1.459861
Ossett United,Ingfield Stadium,WF5 9HA,West Riding,53.679775,-1.577641
Pontefract Collieries,Regional Electrical Services Stadium,WF8 4RA,West Riding,53.694599,-1.321242
Sheffield,Home of Football Stadium,S18 2GD,Sheffield & Hallamshire,53.310571,-1.476723
Shildon,Dean Street,DL4 1EZ,Durham,54.633238,-1.649478
Stocksbridge Park Steels,Eco-Power Stadium,S36 2AN,Sheffield & Hallamshire,53.4769,-1.588047
Stockton Town,Bishopton Road West,TS19 0QD,Durham,54.571178,-1.340049
Tadcaster Albion,Global Stadium,LS24 9AY,West Riding,53.882434,-1.257676
Worksop Town,Babbage Way,S80 1UJ,Sheffield & Hallamshire,53.311691,-1.129777
Bedworth United,The Oval,CV12 8NN,Birmingham,52.47673,-1.472885
Boldmere St. Michaels,Trevor Brown Memorial Ground,B73 5RY,Birmingham,52.540895,-1.841653
Cambridge City,Westwood Road,PE27 6DT,Cambridgeshire,52.328543,-0.082269
Chasetown,Scholars Ground,WS7 3QL,Staffordshire,52.669621,-1.936488
Coleshill Town,Pack Meadow,B46 3JJ,Birmingham,52.48167,-1.697276
Corby Town,Steel Park,NN17 2FB,Northamptonshire,52.506925,-0.716737
Daventry Town,Communications Park,NN11 4NS,Northamptonshire,52.256242,-1.18704
Dereham Town,Aldiss Park,NR20 3PX,Norfolk,52.681975,0.972648
Gresley Rovers,Moat Ground,DE11 9RE,Derbyshire,52.762343,-1.562688
Halesowen Town,The Grove,B63 3TB,Birmingham,52.455213,-2.058387
Harborough Town,Harborough Town Community Football Ground,LE16 9HF,Leicestershire & Rutland,52.466646,-0.915897
Hinckley LR,Leicester Road Stadium,LE10 3DR,Leicestershire & Rutland,52.554129,-1.34727
Loughborough Dynamo,ADT Stadium,LE11 3TN,Leicestershire & Rutland,52.753677,-1.235769
Shepshed Dynamo,Dovecote Stadium,LE12 9BN,Leicestershire & Rutland,52.773827,-1.287024
Spalding United,Sir Halley Stewart Playing Fields,PE11 1DA,Lincolnshire,52.788915,-0.152212
Sporting Khalsa,Guardian Warehousing Arena,WV13 3BB,Staffordshire,52.592364,-2.063063
Stamford,Zeeco Stadium,PE9 1US,Lincolnshire,52.666029,-0.469798
St. Neots Town,Premier Plus Stadium,PE19 6SL,Huntingdonshire,52.23219,-0.245822
Sutton Coldfield Town,Central Ground,B72 1NL,Birmingham,52.556086,-1.819407
Yaxley,Decker Bus Stadium,PE7 3NA,Huntingdonshire,52.509005,-0.259397
1874 Northwich,Townfield,CW8 4LH,Cheshire,53.27374,-2.547685
Bootle,Berry Street Garage Stadium,L30 1NY,Liverpool,53.47171,-2.962483
City of Liverpool,Berry Street Garage Stadium,L30 1NY,Liverpool,53.297771,-2.942392
Clitheroe,Shawbridge,BB7 1LZ,Lancashire,53.870613,-2.386705
Colne,Sovereign Play Stadium,BB8 9SF,Lancashire,53.862452,-2.179948
Glossop North End,Surrey Street,SK13 7AJ,Derbyshire,53.445584,-1.955619
Hanley Town,Payaro Stadium,ST2 8AJ,Staffordshire,53.027884,-2.145749
Kidsgrove Athletic,Autonet Insurance Stadium,ST7 1DQ,Staffordshire,53.08145,-2.252938
Leek Town,Harrison Park,ST13 8LD,Staffordshire,53.110594,-2.039382
Macclesfield,Leasing.com Stadium,SK11 7SP,Cheshire,53.243929,-2.125864
Mossley,Seel Park,OL5 0ES,Manchester,53.516476,-2.045491
Newcastle Town,Red Industries Stadium,ST5 3BX,Staffordshire,52.996025,-2.216709
Prescot Cables,Volair Park,L34 6HD,Liverpool,53.431075,-2.803933
Ramsbottom United,Harry Williams Stadium,BL0 0BS,Lancashire,53.645269,-2.313768
Runcorn Linnets,Millbank Linnets Stadium,WA7 6GJ,Cheshire,53.332921,-2.668994
Skelmersdale United,Community Ground,L40 0SD,Liverpool,53.604213,-2.843383
Trafford,Home Estates Shawe View,M41 5DL,Manchester,53.44782,-2.371364
Widnes,Halton Stadium,WA8 7DZ,Liverpool,53.365351,-2.739503
Witton Albion,Wincham Park,CW9 6DA,Cheshire,53.27225,-2.493112
Workington,Borough Park,CA14 2DT,Cumberland,54.64873,-3.551804
AFC Rushden & Diamonds,Hayden Road Sports Ground,NN10 0HX,Northamptonshire,52.291794,-0.584544
Alvechurch,Lye Meadow,B48 7RS,Birmingham,52.346848,-1.957267
Barwell,UK Flooring Direct Ground,LE9 8FQ,Leicestershire & Rutland,52.571541,-1.343795
Basford United,Mill Street Playing Fields,NG6 0LD,Nottinghamshire,52.98692,-1.192237
